fileid,filename,pretty_midi,instruments,rtcid
electriclef_witherwax_on_the_pike_witherwax,ElectriClef (Witherwax)/On The Pike - Witherwax.mid,True,"[0, 0]",9445
electriclef_witherwax_troubadour_rag_witherwax,ElectriClef (Witherwax)/Troubadour Rag - Witherwax.mid,True,"[0, 0]",14344
electriclef_witherwax_queen_of_love_witherwax,ElectriClef (Witherwax)/Queen Of Love - Witherwax.mid,True,"[0, 0]",10428
electriclef_witherwax_back_to_life_witherwax,ElectriClef (Witherwax)/Back To Life - Witherwax.mid,True,"[0, 0]",722
electriclef_witherwax_rag_time_dance_the_witherwax,"ElectriClef (Witherwax)/Rag-Time Dance, The - Witherwax.mid",True,"[0, 0, 115]",-1
electriclef_witherwax_slippery_elm_rag_woods_witherwax,ElectriClef (Witherwax)/Slippery Elm Rag (Woods) - Witherwax.mid,True,"[0, 0]",12356
electriclef_witherwax_cleopha_witherwax,ElectriClef (Witherwax)/Cleopha - Witherwax.mid,True,"[0, 0]",2280
electriclef_witherwax_efficiency_rag_witherwax,ElectriClef (Witherwax)/Efficiency Rag - Witherwax.mid,True,"[0, 0]",3756
electriclef_witherwax_black_smoke_a_witherwax,"ElectriClef (Witherwax)/Black Smoke, A - WItherwax.mid",True,"[0, 0]",1114
electriclef_witherwax_nappy_lee_witherwax,ElectriClef (Witherwax)/Nappy Lee - Witherwax.mid,True,"[0, 0]",8847
electriclef_witherwax_st_louis_rag_the_turpin_witherwax,"ElectriClef (Witherwax)/St Louis Rag, The (Turpin) - Witherwax.mid",True,"[0, 0]",12796
electriclef_witherwax_peace_and_plenty_rag_witherwax,ElectriClef (Witherwax)/Peace And Plenty Rag - Witherwax.mid,True,"[0, 0]",9765
electriclef_witherwax_rag_sentimental_witherwax,ElectriClef (Witherwax)/Rag Sentimental - Witherwax.mid,True,"[0, 0]",10594
electriclef_witherwax_pippin_the_witherwax,"ElectriClef (Witherwax)/Pippin, The - Witherwax.mid",True,"[0, 0]",10081
electriclef_witherwax_elite_syncopations_witherwax,ElectriClef (Witherwax)/Elite Syncopations - Witherwax.mid,True,"[0, 0]",3804
electriclef_witherwax_ragtime_nightingale_witherwax,ElectriClef (Witherwax)/Ragtime Nightingale - Witherwax.mid,True,"[0, 0]",10951
electriclef_witherwax_pastime_rag_3_witherwax,ElectriClef (Witherwax)/Pastime Rag #3 - Witherwax.mid,True,"[0, 0]",9738
electriclef_witherwax_summer_breeze_a_witherwax,"ElectriClef (Witherwax)/Summer Breeze, A - Witherwax.mid",True,"[0, 0]",13038
electriclef_witherwax_pastime_rag_4_witherwax,ElectriClef (Witherwax)/Pastime Rag #4 - Witherwax.mid,True,"[0, 0]",9739
electriclef_witherwax_sure_fire_rag_witherwax,ElectriClef (Witherwax)/Sure Fire Rag - Witherwax.mid,True,"[0, 0]",13140
electriclef_witherwax_rose_leaf_rag_witherwax,ElectriClef (Witherwax)/Rose Leaf Rag - Witherwax.mid,True,"[0, 0]",11597
electriclef_witherwax_evergreen_rag_witherwax,ElectriClef (Witherwax)/Evergreen Rag - Witherwax.mid,True,"[0, 0]",3922
electriclef_witherwax_swipesy_witherwax,ElectriClef (Witherwax)/Swipesy - Witherwax.mid,True,"[0, 0]",13264
electriclef_witherwax_pegasus_scott_witherwax,ElectriClef (Witherwax)/Pegasus (Scott) - Witherwax.mid,True,"[0, 0]",9804
electriclef_witherwax_cotton_bolls_witherwax,ElectriClef (Witherwax)/Cotton Bolls - Witherwax.mid,True,"[0, 0]",2637
electriclef_witherwax_new_era_rag_witherwax,ElectriClef (Witherwax)/New Era Rag - Witherwax.mid,True,"[0, 0]",8927
electriclef_witherwax_entertainer_the_joplin_witherwax,"ElectriClef (Witherwax)/Entertainer, The (Joplin) - Witherwax.mid",True,"[0, 0]",3849
electriclef_witherwax_great_scott_rag_witherwax,ElectriClef (Witherwax)/Great Scott Rag - WItherwax.mid,True,"[0, 0]",5042
electriclef_witherwax_princess_rag_the_scott_witherwax,"ElectriClef (Witherwax)/Princess Rag, The (Scott) - Witherwax.mid",True,"[0, 0]",10318
electriclef_witherwax_gladiolus_rag_witherwax,ElectriClef (Witherwax)/Gladiolus Rag - Witherwax.mid,True,"[0, 0]",4817
electriclef_witherwax_peach_the_witherwax,"ElectriClef (Witherwax)/Peach, The - Witherwax.mid",True,"[0, 0]",9773
electriclef_witherwax_harlem_rag_witherwax,ElectriClef (Witherwax)/Harlem Rag - Witherwax.mid,True,"[0, 0]",5248
electriclef_witherwax_heliotrope_bouquet_witherwax,ElectriClef (Witherwax)/Heliotrope Bouquet - Witherwax.mid,True,"[0, 0]",5352
electriclef_witherwax_broadway_rag_scott_witherwax,ElectriClef (Witherwax)/Broadway Rag (Scott) - Witherwax.mid,True,"[0, 0]",1443
electriclef_witherwax_temptation_rag_witherwax,ElectriClef (Witherwax)/Temptation Rag - Witherwax.mid,True,"[0, 0]",13504
electriclef_witherwax_ethiopia_rag_witherwax,ElectriClef (Witherwax)/Ethiopia Rag - Witherwax.mid,True,"[0, 0]",3884
electriclef_witherwax_blue_goose_witherwax,ElectriClef (Witherwax)/Blue Goose - Witherwax.mid,True,"[0, 0]",1190
electriclef_witherwax_cum_bac_witherwax,ElectriClef (Witherwax)/Cum Bac - Witherwax.mid,True,"[0, 0]",2842
electriclef_witherwax_breeze_from_alabama_a_witherwax,"ElectriClef (Witherwax)/Breeze From Alabama, A - Witherwax.mid",True,"[0, 0]",1401
electriclef_witherwax_pastime_rag_5_witherwax,ElectriClef (Witherwax)/Pastime Rag #5 - Witherwax.mid,True,"[0, 0]",9740
electriclef_witherwax_weeping_willow_joplin_witherwax,ElectriClef (Witherwax)/Weeping Willow (Joplin) - Witherwax.mid,True,"[0, 0]",14918
electriclef_witherwax_original_rags_witherwax,ElectriClef (Witherwax)/Original Rags - Witherwax.mid,True,"[0, 0]",9551
electriclef_witherwax_modesty_rag_witherwax,ElectriClef (Witherwax)/Modesty Rag - Witherwax.mid,True,"[0, 0]",8444
electriclef_witherwax_ragtime_oriole_witherwax,ElectriClef (Witherwax)/Ragtime Oriole - Witherwax.mid,True,"[0, 0]",10966
electriclef_witherwax_ragtime_betty_the_witherwax,"ElectriClef (Witherwax)/Ragtime Betty, The - Witherwax.mid",True,"[0, 0]",10810
electriclef_witherwax_felicity_rag_witherwax,ElectriClef (Witherwax)/Felicity Rag - Witherwax.mid,True,"[0, 0]",4106
electriclef_witherwax_search_light_rag_witherwax,ElectriClef (Witherwax)/Search-Light Rag - Witherwax.mid,True,"[0, 0]",11966
electriclef_witherwax_sugar_cane_witherwax,ElectriClef (Witherwax)/Sugar Cane - Witherwax.mid,True,"[0, 0]",13004
electriclef_witherwax_chrysanthemum_the_witherwax,"ElectriClef (Witherwax)/Chrysanthemum, The - Witherwax.mid",True,"[0, 0]",2211
electriclef_witherwax_ham_and_witherwax,ElectriClef (Witherwax)/Ham and ! - Witherwax.mid,True,"[0, 0]",5129
electriclef_witherwax_bohemia_witherwax,ElectriClef (Witherwax)/Bohemia - Witherwax.mid,True,"[0, 0]",1287
electriclef_witherwax_strenuous_life_the_witherwax,"ElectriClef (Witherwax)/Strenuous Life, The - Witherwax.mid",True,"[0, 0]",12947
electriclef_witherwax_champagne_rag_witherwax,ElectriClef (Witherwax)/Champagne Rag - Witherwax.mid,True,"[0, 0]",2002
electriclef_witherwax_rag_time_nightmare_a_witherwax,"ElectriClef (Witherwax)/Rag-Time Nightmare, A - Witherwax.mid",True,"[0, 0]",10953
electriclef_witherwax_american_beauty_lamb_witherwax,ElectriClef (Witherwax)/American Beauty (Lamb) - Witherwax.mid,True,"[0, 0]",351
electriclef_witherwax_euphonic_sounds_witherwax,ElectriClef (Witherwax)/Euphonic Sounds - Witherwax.mid,True,"[0, 0]",3902
electriclef_witherwax_something_doing_joplin_hayden_witherwax,ElectriClef (Witherwax)/Something Doing (Joplin & Hayden) - Witherwax.mid,True,"[0, 0]",12548
electriclef_witherwax_dixie_queen_witherwax,ElectriClef (Witherwax)/Dixie Queen - Witherwax.mid,True,"[0, 0]",3342
electriclef_witherwax_dont_jazz_me_rag_witherwax,ElectriClef (Witherwax)/Don't Jazz Me - Rag - Witherwax.mid,True,"[0, 0]",3450
electriclef_witherwax_binks_waltz_witherwax,ElectriClef (Witherwax)/Binks' Waltz - Witherwax.mid,True,"[0, 0]",1021
electriclef_witherwax_pastime_rag_2_witherwax,ElectriClef (Witherwax)/Pastime Rag #2 - Witherwax.mid,True,"[0, 0, 115]",-1
electriclef_witherwax_possum_and_taters_witherwax,ElectriClef (Witherwax)/Possum And Taters - Witherwax.mid,True,"[0, 0]",10221
electriclef_witherwax_easy_winners_the_witherwax,"ElectriClef (Witherwax)/Easy Winners, The - Witherwax.mid",True,"[0, 0]",3704
electriclef_witherwax_peaches_and_cream_witherwax,ElectriClef (Witherwax)/Peaches And Cream - Witherwax.mid,True,"[0, 0]",9775
wilson_daintiness_rag_wilson,Wilson/Daintiness Rag - Wilson.mid,True,"[0, 0]",2895
wilson_pine_apple_rag_song_wilson,Wilson/Pine Apple Rag [song] - Wilson.mid,True,"[3, 115, 0, 0]",-1
wilson_whistling_rufus_wilson,Wilson/Whistling Rufus - Wilson.mid,True,"[0, 0]",15138
wilson_grizzly_bear_the_song_wilson,"Wilson/Grizzly Bear, The [song] - Wilson.mid",True,"[0, 0, 0]",-1
wilson_stumbling_song_wilson,Wilson/Stumbling [song] - Wilson.mid,True,"[3, 0, 0]",-1
wilson_epithalamium_wilson,Wilson/Epithalamium - Wilson.mid,True,"[0, 0]",3859
wilson_sun_flower_slow_drag_wilson,Wilson/Sun Flower Slow Drag - Wilson.mid,True,[1],-1
wilson_red_rambler_rag_wilson,Wilson/Red Rambler Rag - Wilson.mid,True,"[0, 0]",11313
wilson_when_i_hear_you_play_that_piano_bill_wilson,"Wilson/When I Hear You Play That Piano, Bill! - Wilson.mid",True,"[3, 0, 0]",-1
wilson_ballin_the_jack_song_wilson,Wilson/Ballin' The Jack [song] - Wilson.mid,True,"[3, 0, 0]",-1
wilson_cubanola_glide_the_wilson,"Wilson/Cubanola Glide, The - Wilson.mid",True,"[0, 0]",2826
wilson_bird_brain_rag_wilson_ex_cowles,Wilson/Bird-Brain Rag - Wilson ex Cowles.mid,True,"[0, 0]",1024
wilson_thoroughbred_rag_wilson,Wilson/Thoroughbred Rag - Wilson.mid,True,"[0, 0]",13983
wilson_fig_leaf_wilson,Wilson/Fig Leaf - Wilson.mid,True,[1],-1
wilson_new_orleans_hop_scop_blues_wilson,Wilson/New Orleans Hop Scop Blues - Wilson.mid,True,"[0, 0, 0]",-1
wilson_lobster_glide_the_wilson,"Wilson/Lobster Glide, The - Wilson.mid",True,"[0, 0]",7584
wilson_twelve_note_rag_the_wilson,"Wilson/Twelve Note Rag, The - Wilson.mid",True,"[0, 0]",14408
wilson_heliotrope_bouquet_wilson,Wilson/Heliotrope Bouquet - Wilson.mid,False,[],-1
wilson_pastime_rag_1_wilson,Wilson/Pastime Rag #1 - Wilson.mid,True,"[0, 0]",9736
wilson_swipesy_wilson,Wilson/Swipesy - Wilson.mid,True,[1],-1
wilson_rose_bud_march_the_wilson,"Wilson/Rose-bud March, The - Wilson.mid",True,[1],-1
wilson_you_tell_em_ivories_wilson,"Wilson/You Tell 'Em, Ivories - Wilson.mid",True,"[0, 0]",15519
wilson_tribute_to_joplin_wilson,Wilson/Tribute To Joplin - Wilson.mid,True,"[0, 0]",14295
wilson_blackville_society_cake_walk_wilson,Wilson/Blackville Society Cake Walk - Wilson.mid,True,"[0, 0]",1138
wilson_african_suite_kinda_careless_wilson,Wilson/African Suite; Kinda Careless - Wilson.mid,True,"[0, 0]",120
