fileid,title,composer,year,year_alt,rtctype,ts_pm,silence_pm,silence_beats_pm,quant_pct_pm,ts_m21,silence_beats_m21,quant_m21,onset_pct_m21,true_ts,part0_avgpitch,part1_avgpitch,part0_numnotes,part1_numnotes,do_not_use,part_pitch_diff
misc_sequencers_f_l_pastime_rag_no._1_hobbs,Pastime Rag No. 1,"Matthews, Artie",1913,,R,2/4,2.891568,4,0.662414132,['2/4@0.0'],2,"(2058, 1504)",0.730806608,,77.60962567,52.26135105,1309,903,,25.34827462
misc_sequencers_unks_pastime_rag_1_unk_ex_cowles,Pastime Rag No. 1,"Matthews, Artie",1913,,R,2/4,3.2,4,0.662414132,['2/4@0.0'],2,"(2058, 1504)",0.730806608,,77.60962567,52.26135105,1309,903,,25.34827462
old_web_prt_pastime_rag_no._1_unk2_ex_old_web,Pastime Rag No. 1,"Matthews, Artie",1913,,R,2/4,3.2,4,0.662414132,['2/4@0.0'],2,"(2058, 1504)",0.730806608,,77.60962567,52.26135105,1309,903,,25.34827462
electriclef_witherwax_pastime_rag_1_witherwax,Pastime Rag No. 1,"Matthews, Artie",1913,,R,2/4,1.5,2,0.940545809,['2/4@0.0'],2,"(2069, 1964)",0.949250846,,76.67011019,50.99762188,1452,841,,25.67248831
macdonald_pastime_rag_3_macdonald,Pastime Rag No. 3,"Matthews, Artie",1916,,R,2/4,0,0,0.912318841,['2/4@0.0'],0,"(2773, 2544)",0.917417959,,75.04028863,51.34367903,1663,1321,,23.6966096
misc_sequencers_s_z_excl_unks_pastime_rag_3_smith,Pastime Rag No. 3,"Matthews, Artie",1916,,R,2/4,0,0,0.941886792,['2/4@0.0'],0,"(2658, 2511)",0.94469526,,75.28728923,51.42435703,1542,1322,,23.8629322
electriclef_witherwax_pastime_rag_3_witherwax,Pastime Rag No. 3,"Matthews, Artie",1916,,R,2/4,1.73913,2,0.897923266,['2/4@0.0'],2,"(2805, 2411)",0.859536542,,75.57362637,51.35589354,1820,1315,,24.21773284
macdonald_pastime_rag_4_macdonald,Pastime Rag No. 4,"Matthews, Artie",1920,,R,2/4,0,0,0.947888589,['2/4@0.0'],0,"(2255, 2139)",0.948558758,,75.08549223,53.58037825,1544,846,,21.50511398
misc_sequencers_s_z_excl_unks_pastime_rag_4_smith,Pastime Rag No. 4,"Matthews, Artie",1920,,R,2/4,0,0,0.94710892,['2/4@0.0'],0,"(2255, 2143)",0.950332594,,76.67139001,52.59625963,1482,909,,24.07513039
electriclef_witherwax_pastime_rag_4_witherwax,Pastime Rag No. 4,"Matthews, Artie",1920,,R,2/4,2.222222,2,0.947911989,['2/4@0.0'],2,"(2249, 2135)",0.949310805,,76.69626168,52.4572697,1498,901,,24.23899198
misc_sequencers_s_z_excl_unks_pastime_rag_5_smith,Pastime Rag No. 5,"Matthews, Artie",1918,,R,2/4,0,0,0.919170243,['2/4@0.0'],0,"(2801, 2594)",0.926097822,,73.28097561,54.4342723,2050,1278,,18.84670331
macdonald_pastime_rag_5_macdonald,Pastime Rag No. 5,"Matthews, Artie",1918,,R,2/4,0,0,0.910707933,['2/4@0.0'],0,"(2817, 2611)",0.926872559,,73.21820881,54.03543307,2021,1270,,19.18277574
misc_sequencers_a_e_pastime_rag_5_electriclef_music_ex_decker,Pastime Rag No. 5,"Matthews, Artie",1918,,R,2/4,1.5,2,0.914795009,['2/4@0.0'],2,"(2811, 2611)",0.928850943,,73.5450495,53.82177419,2020,1240,,19.72327531
electriclef_witherwax_pastime_rag_5_witherwax,Pastime Rag No. 5,"Matthews, Artie",1918,,R,2/4,2.068966,2,0.914795009,['2/4@0.0'],2,"(2811, 2611)",0.928850943,,76.15891089,53.83842444,2020,1244,,22.32048645
ex_mathew_pathetic_rag_hansen_ex_mathew,Pathetic Rag,"Christensen, Axel W.",1913,,R,2/4,1.015625,2,1,['2/4@0.0'],2,"(2283, 2283)",1,,69.05571635,51.77295661,1382,991,,17.28275974
macdonald_patricia_rag_macdonald,Patricia Rag,"Lamb, Joseph F.",1916,,R,2/4,1.049073,1.5,0.996721311,['2/4@0.0'],1.5,"(2519, 2517)",0.999206034,,72.10196078,52.09075908,1530,1212,,20.01120171
