fileid,title,composer,year,year_alt,rtctype,ts_pm,silence_pm,silence_beats_pm,quant_pct_pm,ts_m21,silence_beats_m21,quant_m21,onset_pct_m21,true_ts,part0_avgpitch,part1_avgpitch,part0_numnotes,part1_numnotes,do_not_use,part_pitch_diff
wilson_11th_street_rag_pub.vers_wilson,11th Street Rag [pub.],"Bowman, Euday L.",1917,,R,4/4,0,0,0.990599295,['4/4@0.0'],0,"(1787, 1777)",0.994404029,,74.14258912,51.19622642,1066,795,,22.9463627
wilson_11th_street_rag_unpub._vers_wilson,11th Street Rag [unpub.],"Bowman, Euday L.",1917,,R,4/4,0,0,0.957620212,['4/4@0.0'],0,"(1307, 1257)",0.961744453,,74.58229599,53.02852615,723,631,,21.55376984
misc_sequencers_a_e_12th_street_rag_abruzese_ex_decker,12th Street Rag,"Bowman, Euday L.",1914,,R,4/4,3.6125,7.225,0.040376323,['4/4@0.0'],4,"(2516, 2336)",0.92845787,,79.15896739,51.20839813,2208,643,,27.95056926
macdonald_12th_street_rag_macdonald,13th Street Rag,"Bowman, Euday L.",1914,,R,4/4,0.951423,3,0.993444276,['4/4@0.0'],3,"(2000, 1998)",0.999,,72.28011204,52.10196078,1071,1020,,20.17815126
misc_sequencers_m_r_12th_street_rag_rogers,14th Street Rag,"Bowman, Euday L.",1914,,R,4/4,2.625,7,1,['4/4@0.0'],4,"(2105, 2105)",1,,73.17940199,52.69672944,1204,1009,,20.48267256
misc_sequencers_s_z_excl_unks_12th_street_rag_sierra_ex_wiseman,15th Street Rag,"Bowman, Euday L.",1914,,R,4/4,0.75,3,1,['4/4@0.0'],3,"(1999, 1999)",1,,52.11176471,72.3042654,1020,1055,,-20.1925007
misc_sequencers_unks_12th_street_rag_unk2_ex_wiseman,16th Street Rag,"Bowman, Euday L.",1914,,R,4/4,0.75,3,1,['4/4@0.0'],3,"(1999, 1999)",1,,64.11176471,84.3042654,1020,1055,,-20.1925007
misc_sequencers_unks_12th_street_rag_unk3_ex_wiseman,17th Street Rag,"Bowman, Euday L.",1914,,R,4/4,0.75,3,1,['4/4@0.0'],3,"(1999, 1999)",1,,64.11176471,84.3042654,1020,1055,,-20.1925007
old_web_prt_12th_street_rag_unk1_ex_old_web,18th Street Rag,"Bowman, Euday L.",1914,,R,4/4,0.75,3,1,['4/4@0.0'],3,"(1999, 1999)",1,,64.11176471,84.3042654,1020,1055,,-20.1925007
mezjuev_1986_mezjuev,1986,"Mezjuev, Oleg",1986,,Y,2/4,1.175,1.958333333,0.993023256,['2/4@0.0'],1.958333333,"(431, 428)",0.993039443,,61.91239316,43,468,2,notsplit,18.91239316
misc_sequencers_f_l_abraham_kass,Abraham,"Von Tilzer, Harry",1904,,S,4/4,0,0,1,['4/4@0.0'],0,"(1167, 1167)",1,,65.94007491,49.65859031,801,454,,16.2814846
hiawatha_radna_adroit_imposter_the_radna,"Adroit Imposter, The","Radna, Rudolf B.",2009,,Y,2/4,0,0,1,['2/4@0.0'],0,"(3155, 3155)",1,,75.04708625,49.69965636,2145,1455,,25.34742989
cowles_aeroplane_rag_the_glogau_pno_cowles,"Aeroplane, The","Glogau, Jack","i 1913, o 1916",1902-1919,R,2/4,1.055231925,1.5125,0.150313152,['2/4@0.0'],1.5,"(1939, 1929)",0.994842702,,69.66726297,54.05912863,1118,964,,15.60813434
macdonald_african_pas_macdonald,African Pas',"Kirwin, Maurice",1902,,R,2/4,0,0,1,['2/4@0.0'],0,"(2044, 2044)",1,,76.04659189,52.10269192,1159,1003,,23.94389997
misc_sequencers_a_e_african_ripples_boudrant,African Ripples,"Waller, Thomas ""Fats""",1931,,N,4/4,0,0,0.771052632,['4/4@0.0'],0,"(1534, 1218)",0.794002608,,75.6381733,59.87533156,854,754,,15.76284174
cowles_african_smile_an_cowles,"African Smile, An","Eno, Paul","o 1905, i 1906",1902-1919,M,2/4,0.00531915,0.008333333,0.146969697,['2/4@0.0'],0,"(2096, 2096)",1,,74.01159679,54.93268293,1121,1025,,19.07891386
wilson_african_suite_high_hattin_wilson,African Suite: High Hattin',"Confrey, Zez",1924,,N,2/2,0,0,0.766700925,['2/2@0.0'],0.0,"(977, 793)",0.811668373,,66.24410774,48.17811159,594,466,,18.06599616
wilson_african_suite_kinda_careless_wilson,African Suite: Kinda Careless,"Confrey, Zez",1924,,N,2/2,0,0,0.847667229,['2/2@0.0'],0,"(1847, 1700)",0.920411478,,76.53680431,53.1501182,1114,846,,23.38668611
wilson_african_suite_mississippi_shivers_wilson,African Suite: Mississippi Shivers,"Confrey, Zez",1924,,N,2/2,0,0,0.904316547,['2/2@0.0'],0.0,"(1792, 1695)",0.945870536,,71.10295359,52.44144144,1185,999,,18.66151215
schwartz_after_youve_gone_schwartz,After You've Gone,"Layton, J. Turner",1918,,S,4/4,0,0,0.682452642,['4/4@0.0'],0,"(2147, 1630)",0.759198882,,75.34390863,54.10757409,1576,911,,21.23633454
watanabe_agitation_rag_watanabe002,Agitation Rag,"Hampton, Robert",1915,,R,2/4,0,0,0.998658618,['2/4@0.0'],0,"(2996, 2992)",0.998664887,,72.73695198,53.24885496,1916,1310,,19.48809702
misc_sequencers_f_l_agitation_rag_hobbs,Agitation Rag,"Hampton, Robert",1915,,R,2/4,3.116884,4,0.732865262,['2/4@0.0'],2,"(2976, 2365)",0.79469086,,72.77301255,53.15104167,1912,1344,,19.62197089
misc_sequencers_unks_agitation_rag_unk_ex_cowles,Agitation Rag,"Hampton, Robert",1915,,R,2/4,3.428568,4,0.732865262,['2/4@0.0'],2,"(2976, 2365)",0.79469086,,72.77301255,53.15104167,1912,1344,,19.62197089
old_web_prt_agitation_rag_unk_ex_old_web,Agitation Rag,"Hampton, Robert",1915,,R,2/4,3.428568,4,0.732865262,['2/4@0.0'],2,"(2976, 2365)",0.79469086,,72.77301255,53.15104167,1912,1344,,19.62197089
electriclef_witherwax_agitation_rag_witherwax,Agitation Rag,"Hampton, Robert",1915,,R,2/4,1.666666,2,0.998657268,['2/4@0.0'],2,"(2947, 2943)",0.998642687,,72.84638861,53.21336371,1966,1317,,19.6330249
macdonald_agitation_rag_macdonald,Agitation Rag,"Hampton, Robert",1915,,R,2/4,0,0,0.998653652,['2/4@0.0'],0,"(2985, 2981)",0.998659966,,72.88953183,53.14469697,1901,1320,,19.74483486
old_web_prt_agitation_rag_coello_ex_old_web,Agitation Rag,"Hampton, Robert",1915,,R,4/4,1.5,4,0.999077491,['4/4@0.0'],4,"(3359, 3356)",0.999106877,,72.75024582,52.90769231,2034,1625,,19.84255351
misc_sequencers_m_r_aint_misbehavin_roache_ex_cowles,Ain't Misbehavin',"Waller, Thomas ""Fats"" & Brooks, Harry",1929,,S,4/4,1.486957617,4,0.725460887,['4/4@0.0'],4,"(2357, 1945)",0.825201527,,68.76152981,50.45395349,1778,1075,,18.30757632
schwartz_aint_misbehavin_schwartz,Ain't Misbehavin',"Waller, Thomas ""Fats"" & Brooks, Harry",1929,,S,4/4,1.60714125,3.75,0.625711035,['4/4@0.0'],3.75,"(914, 688)",0.75273523,,73.31486486,53.01055409,740,379,,20.30431078
misc_sequencers_a_e_aint_misbehavin_boudrant,Ain't Misbehavin',"Waller, Thomas ""Fats"" & Brooks, Harry",1929,,S,4/4,0,0,0.689135607,['4/4@0.0'],0,"(2638, 2077)",0.787338893,,72.94644068,50.62832551,1475,1278,,22.31811517
macdonald_aint_i_lucky_macdonald,Aint I Lucky?,"Rudisill, Bess E.",1905,,R,2/4,0,0,1,['2/4@0.0'],0,"(1933, 1933)",1,,74.73608445,53.35802469,1042,891,,21.37805976
wilson_aint_i_lucky_wilson,Aint I Lucky?,"Rudisill, Bess E.",1905,,R,2/4,0,0,1,['2/4@0.0'],0,"(1929, 1929)",1,,74.72088547,53.30898876,1039,890,,21.4118967
watanabe_alabama_dream_watanabe084,Alabama Dream,"Barnard, George D.",1899,,R,2/4,0,0,1,['2/4@0.0'],0,"(2290, 2290)",1,,75.05355649,54.02191781,1195,1095,,21.03163868
macdonald_alabama_dream_macdonald,Alabama Dream,"Barnard, George D.",1899,,R,2/4,0,0,0.997370727,['2/4@0.0'],0,"(2290, 2290)",1,,75.05355649,54.01826484,1195,1095,,21.03529165
cowles_alabama_dream_cowles,Alabama Dream,"Barnard, George D.",1899,,R,2/4,0,0,0.105655414,['2/4@0.0'],0,"(2289, 2289)",1,,75.06532663,54.02557078,1194,1095,,21.03975586
wilson_alabama_rag_lamb_wilson,Alabama Rag,"Lamb, Joseph F.",1907-14/ c1960,1902-1919,R,2/4,1.8125,1.8125,0.928201037,['2/4@0.0'],1.8125,"(2677, 2497)",0.932760553,,68.85079727,51.03309481,1756,1118,,17.81770245
cowles_alabama_slide_cowles,Alabama Slide,"Johnson, Charles L.",1915,,F,4/4,0,0,0.132091097,['4/4@0.0'],0,"(2432, 2290)",0.941611842,,71.80116959,55.27045986,1197,1283,,16.53070973
macdonald_alagazam_macdonald,Alagazam!,"Holzmann, Abe",1902,,M,2/4,0.840258,1.5,0.98419597,['2/4@0.0'],1.5,"(2579, 2545)",0.986816596,,73.91107872,53.65952185,1372,1213,,20.25155687
cowles_alagazam_cowles,Alagazam!,"Holzmann, Abe",1902,,M,2/4,1.160256758,1.508333333,0.107467404,['2/4@0.0'],1.5,"(2579, 2545)",0.986816596,,73.91787791,53.66170389,1376,1209,,20.25617402
crausaz_orton_alakeefic_orton_ex_gordon,Alakeefic,"Gordon, Thomas (Tom) Renton",1970,,R,2/4,0,0,0.997133497,['2/4@0.0'],0,"(2711, 2704)",0.997417927,,77.52623907,52.32126697,2058,1105,,25.2049721
wilson_alamo_blues_wilson,Alamo Blues,"Eubank, P. L.",1914,,R,2/4,0,0,0.595454545,['2/4@0.0'],0,"(2096, 1438)",0.686068702,,66.27766032,49.97136312,1419,873,,16.30629721
ex_mathew_alaska_rag_malin_dahmen_ex_mathew,Alaska Rag,"Malin, Alex M.",1915,,R,2/4,0,0,0.001890359,['2/4@0.0'],0,"(2119, 2003)",0.945257197,,75.54561559,53.19345238,1129,1008,,22.35216321
wilson_alaskan_rag_the_wilson,"Alaskan Rag, The","Lamb, Joseph F.",1957/ c1959,>1919,R,2/4,0,0,0.973033708,['2/4@0.0'],0,"(2450, 2417)",0.986530612,,70.09666849,52.53740157,1831,1016,,17.55926691
misc_sequencers_f_l_albany_kass,Albany,"Cannon, Hughie",1904,,S,2/4,0.8823525,1.25,0.996572408,['2/4@0.0'],1.25,"(1164, 1160)",0.996563574,,67.2704918,51.74145299,732,468,,15.52903881
misc_sequencers_f_l_alexanders_ragtime_band_jeremiah_ex_laura,Alexander's Ragtime Band,"Berlin, Irving",1911,,M,4/4,0,0,1,['4/4@0.0'],0,"(1760, 1760)",1,,67.01859956,51.07233065,914,871,,15.94626891
macdonald_alexanders_ragtime_band_macdonald,Alexander's Ragtime Band,"Berlin, Irving",1911,,M,4/4,0,0,0.937823834,['4/4@0.0'],0,"(1387, 1314)",0.947368421,,73.66246851,56.82204724,794,635,,16.84042127
cowles_alexanders_ragtime_band_cowles,Alexander's Ragtime Band,"Berlin, Irving",1911,,M,2/4,1.071429,1.5,0.144680851,['2/4@0.0'],1.5,"(1410, 1406)",0.997163121,,73.78117048,51.79852941,786,680,,21.98264107
old_web_prt_all_that_meat_and_no_potatoes_boudrant_ex_old_web,All That Meat And No Potatoes,"Waller, Thomas ""Fats"" & Kirkeby, Ed",1941,,S,4/4,0,0,0.720897616,['4/4@0.0'],0,"(725, 556)",0.766896552,,76.88210526,54.20903955,475,354,,22.67306572
misc_sequencers_a_e_all_that_meat_and_no_potatoes_boudrant,All That Meat And No Potatoes,"Waller, Thomas ""Fats"" & Kirkeby, Ed",1941,,S,4/4,0,0,0.720897616,['4/4@0.0'],0,"(725, 556)",0.766896552,,76.88210526,54.20903955,475,354,,22.67306572
cowles_all_the_candy_cowles,All The Candy,"Kelly, E. Harry",1907,,R,2/4,1.180921525,1.495833333,0.145644931,['2/4@0.0'],1.5,"(2121, 2099)",0.989627534,,75.60161871,54.3979206,1112,1058,,21.2036981
wilson_all_the_grapes_wilson,All The Grapes,"Fahy, James",1908,,R,2/4,0,0,0.996194101,['2/4@0.0'],0,"(2211, 2203)",0.996381728,,73.24631396,54.49571184,1153,1166,,18.75060213
macdonald_all_the_grapes_macdonald,All The Grapes,"Fahy, James",1908,,R,2/4,0,0,0.996190476,['2/4@0.0'],0,"(2132, 2124)",0.996247655,,73.40582192,54.49913345,1168,1154,,18.90668847
cowles_all_the_money_cowles,All The Money,"Johnson, Charles L. (as Birch, Raymond)",1908,,M,2/4,0,0,0.139965547,['2/4@0.0'],0,"(2352, 2345)",0.99702381,,75.57429719,53.4460665,1245,1233,,22.12823068
wilson_all_of_a_twist_hershom_wilson,All-of-a Twist,"Hersom, Frank E.",1920,,R,2/4,0,0,0.030911901,['2/4@0.0'],0,"(2507, 2444)",0.974870363,,73.96505376,54.67678746,1860,1021,,19.2882663
misc_sequencers_f_l_alligator_crawl_irick_ex_decker,Alligator Crawl,"Waller, Thomas ""Fats""",1924/34,>1919,S,4/4,1.509375,4.025,0.205882353,['4/4@0.0'],0,"(1511, 1149)",0.760423561,,53.91317829,78.99607458,645,1019,,-25.08289629
ranalli_alligator_crawl_unk_ex_ranalli,Alligator Crawl,"Waller, Thomas ""Fats""",1924/34,>1919,S,4/4,0,0,0.722589168,['4/4@0.0'],0,"(1577, 1217)",0.771718453,,78.94427861,52.99849624,1005,665,,25.94578237
misc_sequencers_a_e_alligator_crawl_boudrant,Alligator Crawl,"Waller, Thomas ""Fats""",1924/34,>1919,S,4/4,0,0,0.722589168,['4/4@0.0'],0,"(1577, 1217)",0.771718453,,78.94427861,52.99849624,1005,665,,25.94578237
schwartz_alligator_crawl_schwartz,Alligator Crawl,"Waller, Thomas ""Fats""",1924/34,>1919,S,2/2,0,0,0.763576159,['2/2@0.0'],0.0,"(1568, 1333)",0.850127551,,78.75244011,52.38181818,1127,715,,26.37062192
misc_sequencers_f_l_amateur_rag_the_houp_ex_laura,"Amateur Rag, The","Houp, Zachary",2000,,Y,4/4,0,0,0.994011976,['4/4@0.0'],0,"(2069, 2065)",0.998066699,,72.89170306,49.00629591,1145,953,,23.88540715
wilson_amatory_hallucination_rag_wilson,Amatory Hallucination Rag,"Kaye, Milton",1976,,Y,4/4,0,0,0.959079284,['4/4@0.0'],0,"(1814, 1754)",0.966923925,,78.43908422,52.88770053,1223,748,,25.55138368
wilson_amazon_rag_the_wilson,"Amazon Rag, The","Hahn, Teddy",1904,,R,2/4,1.125,1.5,0.992840095,['2/4@0.0'],1.5,"(1751, 1739)",0.993146773,,72.18008949,52.17755991,894,918,,20.00252957
macdonald_amazon_rag_the_macdonald,"Amazon Rag, The","Hahn, Teddy",1904,,R,2/4,0.9385755,1.5,0.992831541,['2/4@0.0'],1.5,"(1682, 1670)",0.992865636,,72.80687204,52.40981735,844,876,,20.39705469
watanabe_american_beauty_lamb_watanabe039,American Beauty,"Lamb, Joseph F.",1913,,R,2/4,1.2,1.5,0.985109718,['2/4@0.0'],1.5,"(2597, 2566)",0.98806315,,73.0374488,51.08806097,1709,1181,,21.94938784
roache_american_beauty_lamb_roache,American Beauty,"Lamb, Joseph F.",1913,,R,2/4,0.9,1.5,0.886036562,['2/4@0.0'],1.5,"(2652, 2522)",0.950980392,,73.07674685,51.06762468,1746,1183,,22.00912217
misc_sequencers_a_e_american_beauty_lamb_davis,American Beauty,"Lamb, Joseph F.",1913,,R,2/4,1.153845,1.5,0.886036562,['2/4@0.0'],1.5,"(2652, 2522)",0.950980392,,73.07674685,51.06762468,1746,1183,,22.00912217
misc_sequencers_m_r_american_beauty_lamb_muromachi,American Beauty,"Lamb, Joseph F.",1913,,R,2/4,1.977755775,5.008333333,0.247846515,['2/4@0.0'],2,"(2855, 2855)",1,,73.72269868,51.24855012,1749,1207,badtiming,22.47414856
macdonald_american_beauty_lamb_macdonald,American Beauty,"Lamb, Joseph F.",1913,,R,2/4,1.022727,1.5,0.985098039,['2/4@0.0'],1.5,"(2600, 2562)",0.985384615,,73.88392857,51.21698907,1680,1189,,22.6669395
misc_sequencers_s_z_excl_unks_american_beauty_lamb_smith,American Beauty,"Lamb, Joseph F.",1913,,R,2/4,0.8823525,1.5,0.985062893,['2/4@0.0'],1.5,"(2582, 2553)",0.988768397,,73.75351288,51.04953032,1708,1171,,22.70398256
electriclef_witherwax_american_beauty_lamb_witherwax,American Beauty,"Lamb, Joseph F.",1913,,R,2/4,1.125,1.5,0.984968354,['2/4@0.0'],1.5,"(2592, 2554)",0.985339506,,73.81331748,51.10365336,1682,1177,,22.70966412
ex_mathew_american_rag_the_hughes_beattie_ex_mathew,"American Rag, The","Hughes, W. R.",1913,,R,2/4,0,0,0.918975431,['2/4@0.0'],0,"(1987, 1843)",0.927528938,,74.53397213,54.30434783,1148,897,,20.2296243
wilson_angel_food_wilson,Angel Food,"Marzian, Al F.",1911,,R,2/4,1.3125,1.75,0.994728682,['2/4@0.0'],1.75,"(3226, 3209)",0.994730316,,72.51471275,51.89239047,2141,1301,,20.62232228
misc_sequencers_m_r_angel_rag_powell,Angel Rag,unknown,1993,,Y,4/4,0,0,1,['4/4@0.0'],0,"(1498, 1498)",1,,68.41565601,49.34156977,907,688,,19.07408624
cowles_angel_rag_cowles_cowles,Angel Rag,"Cowles, John",2000,,Y,4/4,0,0,1,['4/4@0.0'],0,"(1498, 1498)",1,,68.41565601,49.34156977,907,688,,19.07408624
macdonald_anoma_macdonald,Anoma,"Dabney, Ford T.",1910,,R,2/4,1.09443425,1.75,0.974068663,['2/4@0.0'],1.75,"(2838, 2772)",0.976744186,,71.08701135,51.80672269,1586,1309,,19.28028866
hiawatha_radna_antifreeze_rag_radna,Antifreeze Rag,"Radna, Rudolf B.",2009,,Y,2/4,0,0,1,['2/4@0.0'],0,"(2270, 2270)",1,,78.62191958,49.64146868,1542,926,,28.9804509
mezjuev_antiquity_rag_mezjuev,Antiquity Rag,"Jones, Ted",1991,,Y,2/4,0,0,0.990223464,['2/4@0.0'],0,"(2886, 2858)",0.99029799,,81.08584535,55.56653747,1526,1548,,25.51930788
macdonald_apple_jack_macdonald,Apple Jack,"Johnson, Charles L.",1909,,R,2/4,0,0,0.997067449,['2/4@0.0'],0,"(2076, 2070)",0.997109827,,71.00512821,53.36434783,975,1150,,17.64078038
cowles_apple_jack_cowles,Apple Jack,"Johnson, Charles L.",1909,,R,2/4,0,0,0.146555936,['2/4@0.0'],0,"(2075, 2071)",0.998072289,,71.02466598,53.35913043,973,1150,,17.66553555
misc_sequencers_f_l_april_fool_rag_kass,April Fool Rag,"Schwartz, Jean",1911,,R,2/4,0,0,0.979393939,['2/4@0.0'],0,"(1644, 1612)",0.98053528,,71.22924901,51.45588235,1012,748,,19.77336666
cowles_arabian_nights_cowles,Arabian Nights,"Johnson, Alice",1900,,R,2/4,0,0,0.202261307,['2/4@0.0'],0,"(1600, 1600)",1,,70.62173913,52.7967033,690,910,,17.82503583
wilson_arctic_sunset_wilson,Arctic Sunset,"Lamb, Joseph F.",1959,,R,2/4,0.75,1,0.986139421,['2/4@0.0'],1,"(2575, 2544)",0.987961165,,75.70218069,57.04166667,1605,1176,,18.66051402
macdonald_armadillo_macdonald,Armadillo,"Brown, Clarence F.",1911,,R,2/4,0,0,0.982969152,['2/4@0.0'],0,"(3112, 3059)",0.982969152,,76.00417412,51.00128452,1677,1557,,25.0028896
hiawatha_radna_artichoke_rag_radna,Artichoke Rag,"Radna, Rudolf B.",2009,,Y,2/4,0,0,0.998013903,['2/4@0.0'],0,"(3087, 3081)",0.998056365,,75.16869227,47.85519713,2057,1395,,27.31349514
electriclef_witherwax_ashy_africa_witherwax,Ashy Africa,"Wenrich, Percy",1902,,R,2/4,1.5,2,0.989347537,['2/4@0.0'],2,"(2253, 2229)",0.989347537,,71.25281385,53.00447227,1155,1118,,18.24834158
macdonald_ashy_africa_macdonald,Ashy Africa,"Wenrich, Percy",1902,,R,2/4,1.07142875,1.75,0.992895204,['2/4@0.0'],1.75,"(2252, 2236)",0.992895204,,71.2486911,52.85778175,1146,1118,,18.39090935
intartaglia_ex_intartaglia_asiko_rag_intartaglia,Asiko Rag,"Intartaglia, Benjamin",2000,,Y,2/4,0,0,0.968728284,['2/4@0.0'],0,"(3025, 2931)",0.96892562,,78.18189655,52.78253119,2320,1122,,25.39936536
wilson_at_a_georgia_campmeeting_wilson,At A Georgia Campmeeting,"Mills, Kerry",1897,,M,2/4,1.0000005,1.5,0.998113208,['2/4@0.0'],1.5,"(2128, 2124)",0.998120301,,74.27146814,56.39624413,1083,1065,,17.87522401
ex_mathew_at_the_grasshoppers_hop_dahmén_ex_mathew,At The Grasshopper's Hop,"Sanson, Allan J.",1906,,R,2/4,0,0,0.007365439,['2/4@0.0'],0.15625,"(1765, 1581)",0.895750708,,75.96907216,51.59001957,776,1022,,24.3790526
macdonald_atlanta_rag_macdonald,Atlanta Rag,"Davenport, Charles ""Cow Cow""",1922,,R,2/4,0.2604165,0.5,0.97122905,['2/4@0.0'],0.5,"(3672, 3571)",0.972494553,,74.98290598,53.1027689,1872,1878,,21.88013708
roache_aura_of_indigo_roache,Aura Of Indigo,"Hoeptner, Fred",1991/2002,>1919,N,2/4,2.019834583,1.723170412,0.99586264,['2/4@0.0'],1.75,"(2664, 2662)",0.999249249,,71.67006629,52.8671275,1961,1302,,18.8029388
cowles_aviator_rag_the_cowles,"Aviator Rag, The","Giblin, Irene M.",1910,,R,2/2,0,0,0.080534022,['2/2@0.0'],0,"(2486, 2397)",0.964199517,,73.72640219,54.52188006,1462,1234,,19.20452212
macdonald_bachelors_button_macdonald,Bachelors Button,"Polla, William C. (as Powell, W. C.)",1909,,I,2/4,0.78125,1.25,0.997054492,['2/4@0.0'],1.25,"(3033, 2751)",0.90702275,,73.24373855,54.17186463,1637,1507,,19.07187391
roache_back_to_life_roache,Back To Life,"Hunter, Charles H.",1905,,R,2/4,1.118303567,1.791666667,0.686527345,['2/4@0.0'],1.75,"(2337, 2187)",0.935815148,,72.34122919,55.38958707,1562,1114,,16.95164212
misc_sequencers_unks_back_to_life_unk_ex_wiseman,Back To Life,"Hunter, Charles H.",1905,,R,2/4,3.0405375,3.75,0.969711311,['2/4@0.0'],2,"(2226, 2169)",0.974393531,,73.60108865,56.06627018,1286,1177,,17.53481847
cowles_back_to_life_cowles,Back To Life,"Hunter, Charles H.",1905,,R,2/4,1.425676008,1.758333333,0.108069844,['2/4@0.0'],1.75,"(2184, 2122)",0.971611722,,73.58939394,55.67493113,1320,1089,,17.91446281
macdonald_back_to_life_macdonald,Back To Life,"Hunter, Charles H.",1905,,R,2/4,1.08058125,1.75,0.97029703,['2/4@0.0'],1.75,"(2187, 2124)",0.971193416,,73.60776847,55.68194317,1313,1091,,17.9258253
electriclef_witherwax_back_to_life_witherwax,Back To Life,"Hunter, Charles H.",1905,,R,2/4,1.5,2,0.959433962,['2/4@0.0'],2,"(2186, 2100)",0.960658737,,73.60853008,55.67889908,1313,1090,,17.929631
summers_bag_of_rags_a_mckanlass_summers,"Bag Of Rags, A","McKanlass, W. R.",1912,,R,2/4,0,0,0.973684211,['2/4@0.0'],0,"(2728, 2664)",0.976539589,,73.13149455,53.6140963,1559,1433,,19.51739825
wilson_ballin_the_jack_wilson,Ballin' The Jack,"Smith, Chris & Europe, James Reese",1914,,R,2/4,0,0,0.001305483,['2/4@0.0'],1.875,"(1532, 1241)",0.810052219,,72.09192547,51.53188602,805,737,,20.56003944
cowles_baltimore_buck_cowles,Baltimore Buck,"Brown, Harry",1905,,R,2/4,0.997222721,1.495833333,0.210022523,['2/4@0.0'],1.5,"(1806, 1804)",0.99889258,,73.59541985,54.44593088,917,897,,19.14948897
cowles_bananier_la_cowles,"Bananier, La","Gottschalk, Louis Moreau",1845-46,1890-1901,N,4/4,0,0,0.192808755,['4/4@0.0'],0,"(1917, 1907)",0.994783516,,85.59914163,53.96354167,1165,768,,31.63559996
cowles_banjo_rag_the_bennett_cowles,"Banjo Rag, The","Bennett, E. K.",1909,,R,2/4,1.156594004,1.754166667,0.123484013,['2/4@0.0'],1.75,"(1807, 1517)",0.839513005,,75.6713615,56.43193449,852,977,,19.23942701
macdonald_bantam_step_macdonald,Bantam Step,"Jentes, Harry",1916,,R,4/4,1.23684025,3.916666667,0.988901221,['4/4@0.0'],3.916666667,"(1809, 1793)",0.991155334,,73.06071429,53.50517598,1120,966,,19.5555383
macdonald_barbed_wire_rag_macdonald,Barbed Wire Rag,"Spencer, Herbert",1910,,R,4/4,0,0,0.987847222,['4/4@0.0'],0,"(2305, 2289)",0.993058568,,73.4371091,53.8172147,1439,1034,,19.6198944
cowles_barber_pole_rag_the_cowles,"Barber Pole Rag, The","Johnson, Charles L.",1911,,R,2/4,0.991667163,1.4875,0.136447905,['2/4@0.0'],1.5,"(2789, 2781)",0.997131588,,70.91310751,54.15818815,1358,1435,,16.75491936
cowles_bean_club_musings_cowles,Bean Club Musings,"Eno, Paul",1904,,R,2/4,0.884803479,1.504166667,0.142999502,['2/4@0.0'],1.5,"(2015, 2003)",0.994044665,,69.63177227,53.23229167,1089,960,,16.3994806
misc_sequencers_m_r_beautiful_caroline_mcclellan,Beautiful Caroline,"McClellan, George",1998,,Y,4/4,1.774193667,3.666666667,0.580695584,['4/4@0.0'],3.666666667,"(2574, 1799)",0.698912199,,75.65399061,53.24352332,2130,965,,22.41046729
misc_sequencers_a_e_beaver_rag_anderson,Beaver Rag,"Anderson, Rod",1972,,Y,2/4,1.285713,1.5,0.952798191,['2/4@0.0'],1.5,"(3644, 3609)",0.99039517,,71.66857143,54.26613399,2275,1627,,17.40243744
cowles_beedle_um_bo_johnson_cowles,Beedle-Um-Bo,"Johnson, Charles L. (as Birch, Raymond)",1908,,R,2/2,0.001689188,0.002083333,0.138791594,['2/2@0.0'],0.0,"(2309, 2278)",0.986574275,,77.37345679,53.90187333,1296,1121,,23.47158346
macdonald_bees_wax_rag_macdonald,Bees Wax,"Lincoln, Harry J.",1911,,R,2/4,0,0,1,['2/4@0.0'],0,"(2012, 2012)",1,,78.31476323,52.57305699,1077,965,,25.74170624
decker_kermit_laura_morgan_msn_midibiz_btd_bees_wax_unk_ex_msn,Bees Wax,"Lincoln, Harry J.",1911,,R,2/4,0,0,1,['2/4@0.0'],0,"(1121, 1121)",1,,78.67081851,52.81037567,562,559,,25.86044283
wilson_beets_and_turnips_wilson,Beets And Turnips,"Hess, Cliff & Ahlert, Fred E.",1915,,R,4/4,1.125,3,0.979476655,['4/4@0.0'],3,"(1961, 1921)",0.979602244,,74.21020408,53.30503455,980,1013,,20.90516953
wilson_behemoth_two_step_wilson,Behemoth Two-step,"Albright, William",1974,,Y,2/4,0,0,0.010935252,['2/4@0.0'],1.875,"(5609, 5234)",0.933143163,,72.46802762,51.4242322,3331,2963,,21.04379542
misc_sequencers_m_r_belle_epoch_muromachi,Belle Epoch,"Muromachi, Kazutaka",1999,,Y,4/4,1.071428,4,0.240011751,['4/4@0.0'],4,"(3449, 3389)",0.982603653,,76.0428195,54.56103516,1518,2048,,21.48178434
roache_belle_of_louisville_roache,Belle Of Louisville,"French, Frank",1990,,Y,2/4,0.844444867,1.266666667,0.677224199,['2/4@0.0'],1.25,"(2947, 2921)",0.991177469,,74.41093574,51.00068074,1774,1469,,23.410255
wilson_belle_of_the_creoles_wilson,Belle Of The Creoles,"Guy, Harry P.",1899,,R,2/2,0,0,0.992191313,['2/2@0.0'],0,"(2045, 2029)",0.992176039,,73.90874159,51.1641791,1041,1005,,22.74456249
macdonald_belle_of_the_creoles_macdonald,Belle Of The Creoles,"Guy, Harry P.",1899,,R,4/4,0,0,0.991943605,['4/4@0.0'],0,"(2027, 2011)",0.992106561,,74.02539063,51.14257228,1024,1003,,22.88281834
